ID,People Group,State,District,Primary Language,Population,Hindu,Muslim,Buddhist,Christian,Sikh,Other
1,Abdul,Bihar,Araria,Maithili,1000.0,,1000.0,,,,
2,Abdul,Bihar,Arwal,Urdu,90.0,,90.0,,,,
3,Abdul,Bihar,Aurangabad,Urdu,90.0,,90.0,,,,
4,Abdul,Bihar,Banka,Urdu,500.0,,500.0,,,,
5,Abdul,Bihar,Begusarai,Urdu,700.0,,700.0,,,,
6,Abdul,Bihar,Bhagalpur,Urdu,700.0,,700.0,,,,
7,Abdul,Bihar,Bhojpur,Bhojpuri,2200.0,,2200.0,,,,
8,Abdul,Bihar,Buxar,Bhojpuri,1400.0,,1400.0,,,,
9,Abdul,Bihar,Darbhanga,Urdu,700.0,,700.0,,,,
10,Abdul,Bihar,Gaya,Urdu,100.0,,100.0,,,,
11,Abdul,Bihar,Gopalganj,Urdu,1400.0,,1400.0,,,,
12,Abdul,Bihar,Jamui,Urdu,300.0,,300.0,,,,
13,Abdul,Bihar,Jehanabad,Urdu,100.0,,100.0,,,,
14,Abdul,Bihar,Kaimur,Bhojpuri,1200.0,,1200.0,,,,
15,Abdul,Bihar,Katihar,Bengali,1000.0,,1000.0,,,,
16,Abdul,Bihar,Khagaria,Urdu,60.0,,60.0,,,,
17,Abdul,Bihar,Kishanganj,Maithili,500.0,,500.0,,,,
18,Abdul,Bihar,Lakhisarai,Urdu,70.0,,70.0,,,,
19,Abdul,Bihar,Madhepura,Urdu,200.0,,200.0,,,,
20,Abdul,Bihar,Madhubani,Urdu,1300.0,,1300.0,,,,
21,Abdul,Bihar,Munger,Urdu,200.0,,200.0,,,,
22,Abdul,Bihar,Muzaffarpur,Urdu,1400.0,,1400.0,,,,
23,Abdul,Bihar,Nawada,Bhojpuri,50.0,,50.0,,,,
24,Abdul,Bihar,Pashchim Champaran,Bhojpuri,1900.0,,1900.0,,,,
25,Abdul,Bihar,Patna,Urdu,300.0,,300.0,,,,
26,Abdul,Bihar,Purba Champaran,Bhojpuri,2100.0,,2100.0,,,,
27,Abdul,Bihar,Purnia,Bengali,1100.0,,1100.0,,,,
28,Abdul,Bihar,Rohtas,Urdu,2400.0,,2400.0,,,,
29,Abdul,Bihar,Saharsa,Urdu,90.0,,90.0,,,,
30,Abdul,Bihar,Samastipur,Urdu,90.0,,90.0,,,,
31,Abdul,Bihar,Saran,Bhojpuri,2100.0,,2100.0,,,,
32,Abdul,Bihar,Sheikhpura,Urdu,80.0,,80.0,,,,
33,Abdul,Bihar,Sheohar,Urdu,100.0,,100.0,,,,
34,Abdul,Bihar,Sitamarhi,Maithili,1600.0,,1600.0,,,,
35,Abdul,Bihar,Siwan,Bhojpuri,1900.0,,1900.0,,,,
36,Abdul,Bihar,Supaul,Urdu,90.0,,90.0,,,,
37,Abdul,Bihar,Vaishali,Urdu,600.0,,600.0,,,,
38,Abdul,Delhi,Delhi Central,Urdu,100.0,,100.0,,,,
40,Abdul,Delhi,Delhi New,Urdu,30.0,,30.0,,,,
41,Abdul,Delhi,Delhi North,Urdu,20.0,,20.0,,,,
42,Abdul,Delhi,Delhi Northeast,Urdu,30.0,,30.0,,,,
45,Abdul,Delhi,Delhi South East,Urdu,20.0,,20.0,,,,
46,Abdul,Delhi,Delhi West,Urdu,70.0,,70.0,,,,
48,Abdul,Himachal Pradesh,Bilaspur,Urdu,30.0,,30.0,,,,
49,Abdul,Himachal Pradesh,Chamba,Urdu,40.0,,40.0,,,,
51,Abdul,Himachal Pradesh,Kangra,Urdu,80.0,,80.0,,,,
52,Abdul,Himachal Pradesh,Kullu,Urdu,20.0,,20.0,,,,
53,Abdul,Himachal Pradesh,Mandi,Urdu,20.0,,20.0,,,,
54,Abdul,Himachal Pradesh,Una,Urdu,30.0,,30.0,,,,
55,Abdul,Jharkhand,Bokaro,Urdu,20.0,,20.0,,,,
56,Abdul,Jharkhand,Chatra,Urdu,20.0,,20.0,,,,
57,Abdul,Jharkhand,Dumka,Urdu,20.0,,20.0,,,,
58,Abdul,Jharkhand,Giridih,Urdu,50.0,,50.0,,,,
59,Abdul,Jharkhand,Godda,Urdu,200.0,,200.0,,,,
60,Abdul,Jharkhand,Gumla,Urdu,20.0,,20.0,,,,
61,Abdul,Jharkhand,Hazaribag,Urdu,20.0,,20.0,,,,
62,Abdul,Jharkhand,Jamtara,Urdu,50.0,,50.0,,,,
63,Abdul,Jharkhand,Koderma,Urdu,50.0,,50.0,,,,
64,Abdul,Jharkhand,Pakur,Urdu,70.0,,70.0,,,,
65,Abdul,Jharkhand,Ranchi,Urdu,30.0,,30.0,,,,
66,Abdul,Jharkhand,Sahibganj,Urdu,70.0,,70.0,,,,
67,Abdul,Uttar Pradesh,Agra,Urdu,400.0,,400.0,,,,
68,Abdul,Uttar Pradesh,Aligarh,Hindi,100.0,,100.0,,,,
69,Abdul,Uttar Pradesh,Allahabad,Urdu,50.0,,50.0,,,,
70,Abdul,Uttar Pradesh,Ambedkar Nagar,Urdu,20.0,,20.0,,,,
71,Abdul,Uttar Pradesh,Amethi,Hindi,50.0,,50.0,,,,
72,Abdul,Uttar Pradesh,Bagpat,Hindi,70.0,,70.0,,,,
73,Abdul,Uttar Pradesh,Bahraich,Urdu,100.0,,100.0,,,,
74,Abdul,Uttar Pradesh,Barabanki,Urdu,100.0,,100.0,,,,
75,Abdul,Uttar Pradesh,Basti,Hindi,1200.0,,1200.0,,,,
76,Abdul,Uttar Pradesh,Bijnor,Urdu,90.0,,90.0,,,,
77,Abdul,Uttar Pradesh,Bulandshahr,Urdu,30.0,,30.0,,,,
78,Abdul,Uttar Pradesh,Faizabad,Hindi,20.0,,20.0,,,,
79,Abdul,Uttar Pradesh,Farrukhabad,Kanauji,90.0,,90.0,,,,
