State,District,ID,Population,Missionaries
Andaman and Nicobar Islands,Andaman South,IN-AN-SA,276060,3
Andaman and Nicobar Islands,Nicobar,IN-AN-NI,37070,1
Andaman and Nicobar Islands,North and Middle Andaman,IN-AN-NA,123370,2
Andhra Pradesh,Alluri Sitharama Raju,0,1153240,10
Andhra Pradesh,Anantapur,IN-AP-AN,2780020,23
Andhra Pradesh,Bapatla,0,2010370,3
Andhra Pradesh,Eluru,0,2336650,35
Andhra Pradesh,Godavari East,IN-AP-EG,2246900,30
Andhra Pradesh,Godavari West,IN-AP-WG,2174720,14
Andhra Pradesh,Kadapa,IN-AP-CU,2670660,34
Andhra Pradesh,Kakinada,0,2625570,26
Andhra Pradesh,Konaseema,0,2173590,16
Andhra Pradesh,NTR (Nandamuri Taraka Rama Rao),0,2526520,41
Andhra Pradesh,Nandyal,0,2154550,52
Andhra Pradesh,Palnadu,0,2668520,65
Andhra Pradesh,Prakasam,IN-AP-PR,2773720,30
Andhra Pradesh,Sri Potti Sriramulu Nellore,IN-AP-NE,2969350,19
Andhra Pradesh,Sri Sathya Sai,0,2277840,26
Andhra Pradesh,Srikakulam,IN-AP-SR,3041470,34
Andhra Pradesh,Tirupati,0,2734510,74
Andhra Pradesh,Visakhapatnam,IN-AP-VS,2301410,46
Andhra Pradesh,Vizianagaram,IN-AP-VZ,2130270,34
Arunachal Pradesh,Anjaw,IN-AR-AJ,20160,1
Arunachal Pradesh,Changlang,IN-AR-CH,156500,2
Arunachal Pradesh,Kameng West,IN-AR-WK,85760,1
Arunachal Pradesh,Lohit,IN-AR-EL,78290,3
Arunachal Pradesh,Lower Dibang Valley,IN-AR-DV,58490,1
Arunachal Pradesh,Shi-Yomi,0,14900,1
Arunachal Pradesh,Tawang,IN-AR-TA,49820,1
Arunachal Pradesh,Upper Siang,IN-AR-US,32630,1
Assam,Bajali,0,283260,10
Assam,Barpeta,IN-AS-BA,1523370,10
Assam,Biswanath,IN-AS-BI,688680,18
Assam,Bongaigaon,IN-AS-BO,810190,18
Assam,Cachar,IN-AS-CA,1930620,23
Assam,Charaideo,IN-AS-CD,519150,6
Assam,Dhemaji,IN-AS-DM,771570,5
Assam,Dhubri,IN-AS-DB,1484820,32
Assam,Dibrugarh,IN-AS-DI,1521110,17
Assam,Dima Hasao,IN-AS-NC,231390,1
Assam,Goalpara,IN-AS-GP,1079100,3
Assam,Golaghat,IN-AS-GG,1201170,12
Assam,Hailakandi,IN-AS-HA,701440,15
Assam,Hojai,IN-AS-HO,1025000,19
Assam,Jorhat,IN-AS-JO,1034770,12
Assam,Kamrup,IN-AS-KU,770240,22
Assam,Kamrup Metropolitan,IN-AS-KM,1445370,31
Assam,Karbi Anglong,IN-AS-KA,752720,7
Assam,Karbi Anglong West,IN-AS-WK,331720,6
Assam,Lakhimpur,IN-AS-LA,1171680,13
Assam,Morigaon,IN-AS-MA,1048990,8
Assam,Nagaon,IN-AS-NG,2088720,26
Assam,Nalbari,IN-AS-NL,848950,1
Assam,Tinsukia,IN-AS-TI,1492440,13
Bihar,Araria,IN-BR-AR,3223420,38
Bihar,Arwal,IN-BR-AW,885790,19
Bihar,Aurangabad,IN-BR-AU,3209940,39
Bihar,Banka,IN-BR-BA,2586820,27
Bihar,Begusarai,IN-BR-BE,3640610,36
Bihar,Bhagalpur,IN-BR-BG,3769390,38
Bihar,Bhojpur,IN-BR-BJ,3325380,26
Bihar,Darbhanga,IN-BR-DA,4865750,60
Bihar,Gaya,IN-BR-GA,5092580,37
Bihar,Gopalganj,IN-BR-GO,3089060,37
Bihar,Jamui,IN-BR-JA,2193650,60
Bihar,Kaimur,IN-BR-KM,1967000,2
Bihar,Katihar,IN-BR-KT,3721470,33
Bihar,Kishanganj,IN-BR-KI,1923420,5
Bihar,Madhepura,IN-BR-MP,2436770,16
Bihar,Madhubani,IN-BR-MB,5413600,44
Bihar,Muzaffarpur,IN-BR-MZ,5781460,136
Bihar,Nalanda,IN-BR-NL,3575560,41
Bihar,Nawada,IN-BR-NW,2684830,34
Bihar,Pashchim Champaran,IN-BR-WC,4578550,28
Bihar,Patna,IN-BR-PA,7125580,71
Bihar,Purba Champaran,IN-BR-EC,6002150,84
Bihar,Purnia,IN-BR-PU,3964240,48
Bihar,Rohtas,IN-BR-RO,3691900,67
Bihar,Samastipur,IN-BR-SM,5221890,65
Bihar,Saran,IN-BR-SR,4745120,51
Bihar,Sitamarhi,IN-BR-ST,4236920,22
Bihar,Siwan,IN-BR-SW,4050920,31
Bihar,Supaul,IN-BR-SU,2667080,67
Chandigarh,Chandigarh,IN-CH-CH,1276120,14
Chhattisgarh,Bastar,IN-CT-BA,1509450,15
Chhattisgarh,Bemetara,IN-CT-BE,934470,37
Chhattisgarh,Bijapur,IN-CT-BJ,413240,13
Chhattisgarh,Dhamtari,IN-CT-DH,967820,6
Chhattisgarh,Gariaband,IN-CT-GA,728430,14
Chhattisgarh,Janjgir-Champa,IN-CT-JC,1773770,33
Chhattisgarh,Jashpur,IN-CT-JA,986180,3
Chhattisgarh,Kanker,IN-CT-KK,1232740,18
Chhattisgarh,Korba,IN-CT-KB,1456220,14
Chhattisgarh,Mahasamund,IN-CT-MA,1287750,13
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,0,482420,10
Chhattisgarh,Mungeli,IN-CT-MU,872680,35
Chhattisgarh,Narayanpur,IN-CT-NR,233020,6
Chhattisgarh,Raigarh,IN-CT-RG,1344380,23
Chhattisgarh,Raipur,IN-CT-RP,2616970,37
Chhattisgarh,Surajpur,IN-CT-SU,908900,25
Chhattisgarh,Surguja,IN-CT-SJ,970960,6
Daman and Diu,Diu,IN-DD-DA,65600,1
Delhi,Delhi Central,IN-DL-CD,749510,18
Delhi,Delhi East,IN-DL-ED,1496290,36
Delhi,Delhi New,IN-DL-ND,166360,8
Delhi,Delhi South,IN-DL-SD,1867880,14
Delhi,Delhi South East,IN-DL-SE,1773000,40
Delhi,Delhi Southwest,IN-DL-SW,2833220,44
Delhi,Delhi West,IN-DL-WD,3072340,35
Delhi,Shahdara,IN-DL-SH,920250,17
Goa,Goa North,IN-GA-NG,1033940,10
Goa,Goa South,IN-GA-SG,742310,8
Gujarat,Ahmedabad,IN-GJ-AH,8197840,80
Gujarat,Amreli,IN-GJ-AM,2024540,21
Gujarat,Anand,IN-GJ-AN,2483390,30
Gujarat,Aravalli,IN-GJ-AR,1202380,12
Gujarat,Banaskantha,IN-GJ-BK,3609960,36
