People_Group,Total_Population,Reached_Population,Coverage_Percentage
Abdul,39030.0,3903.7645982900194,10.001959001511707
Abor,1780.0,134.0822978070132,7.532713359944561
Ad Dharmi,1169000.0,114955.62022655286,9.833671533494684
Adi,79870.0,6941.061850211669,8.690449292865491
Adi Andhra,345290.0,35265.19145222102,10.213209607061028
Adi Andhra Christian,21850.0,51.6938682619156,0.23658520943668468
Adi Dravida,9647790.0,958882.7123379942,9.938884577068887
Agariya (Hindu traditions),235600.0,25325.224946867118,10.749246581862105
Ahmadi,84050.0,9107.351747541386,10.835635630626278
Ahom,1941830.0,163816.20035371673,8.436176202536615
Adi Dravida Christian,739250.0,5858.638403017101,0.792511113022266
Adi Gallong,19810.0,241.50421066150548,1.2191025273170393
Adi Karnataka,3336100.0,331034.69600965414,9.922804952179314
Adi Karnataka Christian,196410.0,0.0,0.0
Adi Minyong,27520.0,516.8462324674589,1.8780749726288477
Adi Padam,15220.0,942.4344719612999,6.192079316434296
Adi Pasi,3570.0,273.80421645066764,7.669585894976684
Adi Ramo,1550.0,67.11409395973155,4.329941545789132
Adiyan,17900.0,2013.598566578,11.24915400322905
Agamudaiyan Mukkulattar,2430.0,243.9123441543552,10.037545026928198
Agamudaiyan Nattaman,748000.0,73581.6022885177,9.837112605416804
Agamudaiyan Udayar,9700.0,804.7147744992142,8.296028603084682
Agamudaiyan unspecified,891520.0,87037.38027114756,9.762807370686867
Agariya (Muslim traditions),17400.0,1776.7720968435194,10.211333889905285
Agaru,1840.0,203.41782793703226,11.055316735708274
Ager (Hindu traditions),16220.0,1642.406269491141,10.125809306357219
Aghori,79190.0,7980.246255462602,10.077340895899232
Agri,492680.0,49346.16069840237,10.015864394414704
Aguri,588460.0,60529.825769693445,10.286141074957252
Ahar,1659050.0,166766.8886397477,10.05195073323575
Aheria,192700.0,20024.001281827437,10.39128245035155
Aimol,3330.0,0.0,0.0
Aiton (Tai Aiton),3700.0,410.5961110211091,11.097192189759705
Aiyanavar,6300.0,607.5522564776238,9.643686610755934
Aiyanavar Christian,18830.0,0.0,0.0
Ajila,3660.0,372.5308931031758,10.178439702272563
Ajna,46940.0,5358.666746301089,11.415992216235809
Aka,12340.0,796.4720405662464,6.454392549159209
Alambadi Kurichchan,48220.0,5363.047134812955,11.122038852785058
Alavan,8920.0,912.240462836138,10.226911018342355
Alia,63640.0,6516.345219856088,10.239385952005167
Amat,306000.0,30894.45940207342,10.096228562769092
Ambalavasi,179870.0,18256.13576458218,10.149627933831201
Ambalavasi Kambalattu,3300.0,326.62592772823575,9.897755385704114
Ambalavasi Tottiyan Naicker,12700.0,1278.6840916234926,10.068378674200728
Ambattan (Hindu traditions),202060.0,22864.73124949627,11.315812753388236
